SET FOREIGN_KEY_CHECKS = 0;
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000001,信用卡,1);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000002,信用卡,3);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000003,信用卡,5);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000004,信用卡,7);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000005,信用卡,9);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000006,信用卡,10);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000007,信用卡,12);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000008,信用卡,14);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000009,信用卡,16);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000010,信用卡,18);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000011,储蓄卡,19);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000012,储蓄卡,21);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000013,储蓄卡,7);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000014,储蓄卡,23);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000015,储蓄卡,24);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000016,储蓄卡,3);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000017,储蓄卡,26);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000018,储蓄卡,27);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000019,储蓄卡,12);
insert into bank_card(b_number,b_type,b_c_id) values(6222021302020000020,储蓄卡,29);
SET FOREIGN_KEY_CHECKS = 1;
